t_sec x_m y_m z_m vx_ms vy_ms vz_ms
13997.3051 -28760418.5983 -25892164.6053 -2286552.4772 -894.1850 -3178.2919 -274.7013
14057.3051 -28813716.8136 -26082543.8234 -2303006.4352 -882.4439 -3167.6920 -273.7649
14117.3051 -28866314.4475 -26272288.8303 -2319404.3715 -870.8319 -3157.1514 -272.8339
14177.3051 -28918219.1847 -26461403.1703 -2335746.6080 -859.3469 -3146.6696 -271.9082
14237.3051 -28969438.4408 -26649890.4010 -2352033.4949 -847.9813 -3136.2480 -270.9891
14297.3051 -29019979.5902 -26837754.0064 -2368265.3560 -836.7459 -3125.8809 -270.0733
14357.3051 -29069850.4742 -27024997.1994 -2384442.3676 -825.6363 -3115.5685 -269.1614
14417.3050 -29119058.0930 -27211623.4360 -2400564.8750 -814.6347 -3105.3164 -268.2570
14477.3051 -29167602.4389 -27397639.6371 -2416635.4771 -803.4894 -3095.2535 -267.4439
14537.3051 -29215489.3684 -27583049.6322 -2432654.7987 -792.8561 -3085.0398 -266.5027
14597.3051 -29262752.5743 -27767842.9269 -2448614.2459 -782.5743 -3074.7610 -265.4896
14657.3051 -29309389.9677 -27952027.4334 -2464517.1342 -771.9101 -3064.7888 -264.6444
14717.3051 -29355345.9165 -28135643.7342 -2480388.3447 -759.8750 -3055.8293 -264.4407
14777.3051 -29400642.1913 -28318683.8807 -2496220.6943 -750.5235 -3045.1967 -263.0925
14837.3051 -29445428.7754 -28501059.9756 -2511954.1915 -742.1361 -3034.2026 -261.4846
14897.3051 -29489644.3362 -28682825.4763 -2527622.9785 -731.2461 -3024.9245 -260.9840
14957.3050 -29533149.2981 -28864063.2341 -2543279.2469 -719.0905 -3016.1277 -260.7418
15017.3051 -29575976.4895 -29044730.1176 -2558890.6235 -708.7188 -3006.0399 -259.5966
15077.3050 -29618204.9021 -29224798.3401 -2574438.0889 -698.9039 -2996.3112 -258.7031
15137.3051 -29659846.7396 -29404288.4053 -2589935.0420 -689.1748 -2986.6852 -257.8526
15197.3051 -29700907.7556 -29583202.0584 -2605380.8633 -679.5417 -2977.1131 -257.0102
15257.3051 -29741393.5910 -29761542.8328 -2620776.2634 -670.0015 -2967.5870 -256.1703
15317.3051 -29781309.7883 -29939313.5081 -2636121.4189 -660.5536 -2958.1101 -255.3356
15377.3051 -29820661.8248 -30116516.9871 -2651416.6175 -651.1960 -2948.6804 -254.5051
15437.3051 -29859455.0840 -30293156.1014 -2666662.1127 -641.9274 -2939.2978 -253.6788
15497.3051 -29897694.8670 -30469233.6569 -2681858.1582 -632.7465 -2929.9617 -252.8567
15557.3051 -29935386.3916 -30644752.4293 -2697005.0042 -623.6519 -2920.6717 -252.0388
15617.3050 -29972534.7950 -30819715.1663 -2712102.8981 -614.6423 -2911.4271 -251.2250
15677.3051 -30009144.9006 -30994124.5946 -2727152.0891 -605.6938 -2902.2284 -250.4156
15737.3051 -30045221.9046 -31167983.3992 -2742152.8158 -596.8990 -2893.0721 -249.6090
15797.3051 -30080764.0265 -31341294.4575 -2757105.4408 -587.8044 -2883.9720 -248.8134
15857.3051 -30115795.4859 -31514059.7885 -2772009.8451 -579.6993 -2874.8867 -248.0049
15917.3050 -30150236.3891 -31686284.7057 -2786867.8345 -569.6499 -2865.9093 -247.2377
15977.3051 -30184295.1074 -31857965.2884 -2801675.8545 -560.8600 -2856.9372 -246.4532
16037.3051 -30216926.3579 -32029137.9264 -2816453.4555 -538.1471 -2848.4743 -245.9286
16097.3051 -30249350.0141 -32200308.2229 -2832787.8871 -530.5705 -2839.7569 -245.7588
16157.3051 -30280934.8611 -32370427.7738 -2847510.0175 -522.2700 -2830.9016 -244.9795
16217.3051 -30312023.8759 -32540017.2311 -2862185.5033 -514.0426 -2822.0871 -244.2039
16277.3050 -30342621.4067 -32709079.0318 -2876814.5629 -505.8870 -2813.3130 -243.4320
16337.3051 -30372731.7390 -32877615.5890 -2891397.4127 -497.8024 -2804.5789 -242.6636
16397.3051 -30402359.0968 -33045629.2921 -2905934.2668 -489.7877 -2795.8844 -241.8988
16457.3051 -30431507.6442 -33213122.5070 -2920425.3371 -481.8419 -2787.2292 -241.1375
16517.3051 -30460181.4860 -33380097.5768 -2934870.8337 -473.9640 -2778.6129 -240.3797
16577.3050 -30488384.6691 -33546556.8216 -2949270.9642 -466.1531 -2770.0350 -239.6253
16637.3051 -30516121.1839 -33712502.5391 -2963625.9345 -458.4083 -2761.4952 -238.8743
16697.3051 -30543394.9649 -33877937.0045 -2977935.9484 -450.7285 -2752.9932 -238.1267
16757.3051 -30570209.8922 -34042862.4714 -2992201.2075 -443.1130 -2744.5286 -237.3825
16817.3051 -30596569.7922 -34207281.1715 -3006421.9117 -435.5608 -2736.1009 -236.6415
16877.3051 -30622478.4388 -34371195.3152 -3020598.2588 -428.0711 -2727.7099 -235.9039
16937.3051 -30647939.5545 -34534607.0917 -3034730.4446 -420.6430 -2719.3553 -235.1695
16997.3051 -30672956.8110 -34697518.6692 -3048818.6633 -413.2756 -2711.0366 -234.4383
17057.3051 -30697533.8307 -34859932.1955 -3062863.1069 -405.9683 -2702.7535 -233.7103
17117.3050 -30721674.1869 -35021849.7977 -3076863.9656 -398.7201 -2694.5057 -232.9855
17177.3051 -30745381.4054 -35183273.5831 -3090821.4280 -391.5302 -2686.2929 -232.2638
17237.3051 -30768658.9650 -35344205.6388 -3104735.6807 -384.3980 -2678.1147 -231.5452
17297.3051 -30791510.2985 -35504648.0326 -3118606.9086 -377.3226 -2669.9708 -230.8296
17357.3051 -30813938.7934 -35664602.8127 -3132435.2947 -370.3032 -2661.8609 -230.1171
17417.3051 -30835947.7928 -35824072.0080 -3146221.0205 -363.3393 -2653.7846 -229.4076
17477.3051 -30857540.5962 -35983057.6287 -3159964.2655 -356.4299 -2645.7416 -228.7011
17537.3051 -30878720.4605 -36141561.6662 -3173665.2078 -349.5745 -2637.7318 -227.9975
17597.3051 -30899490.6004 -36299586.0934 -3187324.0235 -342.7723 -2629.7546 -227.2968
